Row Type,Action,Ad group status,Campaign,Ad group,Ad group type,Default max. CPC
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Near Me,Standard,82.50
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Teacher Near Me,Standard,82.50
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes In Gtb Nagar,Standard,71.50
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Music Classes Fees Gtb Nagar,Standard,71.50
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,SKAG - Best Music Classes Academy Delhi,Standard,55.00
