Row Type,Action,Ad group status,Campaign,Ad group,Ad group type,Default max. CPC
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Guitar Classes,Standard,75.00
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Piano & Keyboard,Standard,70.00
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Drum Lessons,Standard,70.00
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Singing & Vocals,Standard,65.00
Ad group,Add,Enabled,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Top Performers - Music Academy & School,Standard,75.00
